Sa,01,02:41:17,08SC36,15SC11,19SC50,25SG32,23SG51,13AQ01,15AR15,04AQ52,27CP20,04SG27,16VI57
Su,02,02:45:14,09SC36,27SC40,21SC21,26SG34,24SG36,13AQ06,15AR11,04AQ53,27CP21,04SG29,16VI54
Mo,03,02:49:10,10SC36,10SG20,22SC53,27SG36,25SG20,13AQ11,15AR07,04AQ54,27CP21,04SG31,16VI51
Tu,04,02:53:07,11SC36,23SG12,24SC24,28SG37,26SG05,13AQ16,15AR03,04AQ55,27CP22,04SG33,16VI48
We,05,02:57:03,12SC36,06CP17,25SC54,29SG38,26SG50,13AQ21,14AR59,04AQ56,27CP23,04SG36,16VI45
Th,06,03:00:60,13SC37,19CP34,27SC24,00CP38,27SG35,13AQ26,14AR56,04AQ57,27CP24,04SG38,16VI41
Fr,07,03:04:56,14SC37,03AQ05,28SC54,01CP38,28SG19,13AQ32,14AR52,04AQ58,27CP25,04SG40,16VI38
Sa,08,03:08:53,15SC37,16AQ50,00SG23,02CP38,29SG04,13AQ37,14AR48,04AQ59,27CP26,04SG42,16VI35
Su,09,03:12:49,16SC37,00PI50,01SG52,03CP37,29SG50,13AQ43,14AR44,05AQ01,27CP27,04SG45,16VI32
Mo,10,03:16:46,17SC37,15PI05,03SG20,04CP36,00CP35,13AQ49,14AR41,05AQ02,27CP28,04SG47,16VI29
Tu,11,03:20:43,18SC38,29PI33,04SG48,05CP34,01CP20,13AQ56,14AR37,05AQ03,27CP29,04SG49,16VI26
We,12,03:24:39,19SC38,14AR11,06SG15,06CP32,02CP05,14AQ02,14AR34,05AQ05,27CP30,04SG51,16VI22
Th,13,03:28:36,20SC38,28AR55,07SG42,07CP30,02CP50,14AQ09,14AR30,05AQ06,27CP31,04SG54,16VI19
Fr,14,03:32:32,21SC39,13TA37,09SG08,08CP27,03CP36,14AQ15,14AR27,05AQ08,27CP32,04SG56,16VI16
Sa,15,03:36:29,22SC39,28TA09,10SG33,09CP23,04CP21,14AQ22,14AR24,05AQ09,27CP34,04SG58,16VI13
Su,16,03:40:25,23SC40,12GE24,11SG58,10CP19,05CP07,14AQ29,14AR21,05AQ11,27CP35,05SG01,16VI10
Mo,17,03:44:22,24SC40,26GE17,13SG22,11CP14,05CP52,14AQ37,14AR18,05AQ13,27CP36,05SG03,16VI06
Tu,18,03:48:18,25SC41,09CN45,14SG45,12CP09,06CP38,14AQ44,14AR15,05AQ14,27CP37,05SG05,16VI03
We,19,03:52:15,26SC41,22CN46,16SG07,13CP03,07CP23,14AQ51,14AR12,05AQ16,27CP39,05SG08,16VI00
Th,20,03:56:12,27SC42,05LE24,17SG28,13CP57,08CP09,14AQ59,14AR09,05AQ18,27CP40,05SG10,15VI57
Fr,21,04:00:08,28SC42,17LE41,18SG48,14CP50,08CP55,15AQ07,14AR07,05AQ20,27CP41,05SG12,15VI54
Sa,22,04:04:05,29SC43,29LE43,20SG07,15CP42,09CP40,15AQ15,14AR04,05AQ21,27CP43,05SG15,15VI51
Su,23,04:08:01,00SG43,11VI35,21SG24,16CP33,10CP26,15AQ23,14AR01,05AQ23,27CP44,05SG17,15VI47
Mo,24,04:11:58,01SG44,23VI22,22SG39,17CP24,11CP12,15AQ31,13AR59,05AQ25,27CP46,05SG19,15VI44
Tu,25,04:15:54,02SG45,05LI10,23SG52,18CP14,11CP58,15AQ40,13AR57,05AQ27,27CP47,05SG22,15VI41
We,26,04:19:51,03SG45,17LI04,25SG03,19CP04,12CP44,15AQ48,13AR55,05AQ29,27CP49,05SG24,15VI38
Th,27,04:23:47,04SG46,29LI07,26SG11,19CP52,13CP30,15AQ57,13AR52,05AQ31,27CP50,05SG27,15VI35
Fr,28,04:27:44,05SG47,11SC24,27SG17,20CP40,14CP16,16AQ06,13AR50,05AQ34,27CP52,05SG29,15VI31
Sa,29,04:31:41,06SG48,23SC55,28SG19,21CP26,15CP02,16AQ15,13AR48,05AQ36,27CP53,05SG31,15VI28
Su,30,04:35:37,07SG49,06SG42,29SG17,22CP12,15CP49,16AQ24,13AR47,05AQ38,27CP55,05SG34,15VI25
