Tu,01,10:35:08,10PI22,17AQ36,16AQ38,25CP35,26CP04,13PI52,18AQ48,11TA33,22PI24,27CP46,26TA24
We,02,10:39:05,11PI22,01PI49,18AQ01,26CP24,26CP49,14PI06,18AQ55,11TA35,22PI27,27CP48,26TA21
Th,03,10:43:01,12PI23,15PI49,19AQ26,27CP13,27CP34,14PI21,19AQ02,11TA37,22PI29,27CP49,26TA18
Fr,04,10:46:58,13PI23,29PI30,20AQ52,28CP03,28CP19,14PI35,19AQ08,11TA39,22PI31,27CP51,26TA15
Sa,05,10:50:54,14PI23,12AR49,22AQ19,28CP54,29CP03,14PI50,19AQ15,11TA41,22PI33,27CP52,26TA12
Su,06,10:54:51,15PI23,25AR45,23AQ48,29CP46,29CP48,15PI04,19AQ22,11TA43,22PI36,27CP54,26TA08
Mo,07,10:58:47,16PI23,08TA21,25AQ18,00AQ38,00AQ33,15PI19,19AQ29,11TA46,22PI38,27CP55,26TA05
Tu,08,11:02:44,17PI23,20TA37,26AQ49,01AQ31,01AQ18,15PI33,19AQ35,11TA48,22PI40,27CP57,26TA02
We,09,11:06:40,18PI23,02GE39,28AQ21,02AQ25,02AQ03,15PI48,19AQ42,11TA50,22PI42,27CP58,25TA59
Th,10,11:10:37,19PI23,14GE32,29AQ54,03AQ19,02AQ47,16PI02,19AQ49,11TA53,22PI45,27CP60,25TA56
Fr,11,11:14:34,20PI23,26GE21,01PI28,04AQ13,03AQ32,16PI17,19AQ55,11TA55,22PI47,28CP01,25TA53
Sa,12,11:18:30,21PI23,08CN11,03PI04,05AQ09,04AQ17,16PI31,20AQ02,11TA58,22PI49,28CP02,25TA49
Su,13,11:22:27,22PI23,20CN08,04PI41,06AQ04,05AQ02,16PI46,20AQ08,12TA00,22PI52,28CP04,25TA46
Mo,14,11:26:23,23PI23,02LE16,06PI19,07AQ01,05AQ47,17PI00,20AQ15,12TA03,22PI54,28CP05,25TA43
Tu,15,11:30:20,24PI23,14LE39,07PI58,07AQ57,06AQ32,17PI15,20AQ21,12TA05,22PI56,28CP06,25TA40
We,16,11:34:16,25PI23,27LE19,09PI38,08AQ55,07AQ17,17PI29,20AQ27,12TA08,22PI58,28CP07,25TA37
Th,17,11:38:13,26PI22,10VI18,11PI19,09AQ52,08AQ02,17PI44,20AQ34,12TA10,23PI01,28CP09,25TA33
Fr,18,11:42:09,27PI22,23VI34,13PI02,10AQ51,08AQ47,17PI58,20AQ40,12TA13,23PI03,28CP10,25TA30
Sa,19,11:46:06,28PI22,07LI07,14PI46,11AQ49,09AQ32,18PI13,20AQ46,12TA16,23PI05,28CP11,25TA27
Su,20,11:50:03,29PI21,20LI52,16PI31,12AQ48,10AQ17,18PI27,20AQ52,12TA18,23PI07,28CP12,25TA24
Mo,21,11:53:59,00AR21,04SC48,18PI18,13AQ48,11AQ02,18PI41,20AQ58,12TA21,23PI10,28CP13,25TA21
Tu,22,11:57:56,01AR20,18SC50,20PI05,14AQ48,11AQ47,18PI56,21AQ04,12TA24,23PI12,28CP14,25TA18
We,23,12:01:52,02AR20,02SG57,21PI54,15AQ48,12AQ33,19PI10,21AQ10,12TA27,23PI14,28CP15,25TA14
Th,24,12:05:49,03AR20,17SG05,23PI44,16AQ48,13AQ18,19PI24,21AQ16,12TA30,23PI17,28CP16,25TA11
Fr,25,12:09:45,04AR19,01CP14,25PI36,17AQ49,14AQ03,19PI39,21AQ22,12TA32,23PI19,28CP17,25TA08
Sa,26,12:13:42,05AR19,15CP21,27PI29,18AQ51,14AQ48,19PI53,21AQ28,12TA35,23PI21,28CP18,25TA05
Su,27,12:17:38,06AR18,29CP27,29PI23,19AQ52,15AQ33,20PI07,21AQ34,12TA38,23PI23,28CP19,25TA02
Mo,28,12:21:35,07AR17,13AQ28,01AR18,20AQ54,16AQ18,20PI21,21AQ40,12TA41,23PI25,28CP20,24TA59
Tu,29,12:25:32,08AR17,27AQ23,03AR15,21AQ56,17AQ04,20PI36,21AQ46,12TA44,23PI28,28CP21,24TA55
We,30,12:29:28,09AR16,11PI08,05AR13,22AQ59,17AQ49,20PI50,21AQ51,12TA47,23PI30,28CP22,24TA52
Th,31,12:33:25,10AR15,24PI41,07AR12,24AQ01,18AQ34,21PI04,21AQ57,12TA50,23PI32,28CP23,24TA49
