Fr,01,18:36:08,09CN10,29CN40,22GE04,09GE31,27AR00,07AR29,24AQ43,17TA45,25PI27,27CP48,19TA57
Sa,02,18:40:04,10CN08,11LE36,23GE51,10GE43,27AR43,07AR34,24AQ40,17TA47,25PI27,27CP47,19TA54
Su,03,18:44:01,11CN05,23LE39,25GE41,11GE54,28AR25,07AR39,24AQ38,17TA49,25PI26,27CP45,19TA50
Mo,04,18:47:57,12CN02,05VI50,27GE33,13GE06,29AR07,07AR44,24AQ35,17TA52,25PI26,27CP44,19TA47
Tu,05,18:51:54,12CN59,18VI13,29GE29,14GE18,29AR49,07AR48,24AQ32,17TA54,25PI26,27CP43,19TA44
We,06,18:55:51,13CN56,00LI50,01CN27,15GE30,00TA31,07AR53,24AQ30,17TA56,25PI26,27CP41,19TA41
Th,07,18:59:47,14CN54,13LI45,03CN27,16GE42,01TA13,07AR57,24AQ27,17TA59,25PI26,27CP40,19TA38
Fr,08,19:03:44,15CN51,27LI02,05CN29,17GE54,01TA55,08AR01,24AQ24,18TA01,25PI25,27CP38,19TA34
Sa,09,19:07:40,16CN48,10SC43,07CN33,19GE06,02TA37,08AR05,24AQ21,18TA03,25PI25,27CP37,19TA31
Su,10,19:11:37,17CN45,24SC50,09CN39,20GE18,03TA18,08AR08,24AQ18,18TA05,25PI25,27CP36,19TA28
Mo,11,19:15:33,18CN42,09SG23,11CN46,21GE30,03TA60,08AR12,24AQ15,18TA07,25PI24,27CP34,19TA25
Tu,12,19:19:30,19CN40,24SG18,13CN54,22GE42,04TA41,08AR15,24AQ11,18TA09,25PI24,27CP33,19TA22
We,13,19:23:26,20CN37,09CP29,16CN03,23GE54,05TA23,08AR18,24AQ08,18TA11,25PI23,27CP31,19TA19
Th,14,19:27:23,21CN34,24CP46,18CN12,25GE06,06TA04,08AR21,24AQ05,18TA13,25PI23,27CP30,19TA15
Fr,15,19:31:20,22CN31,09AQ58,20CN21,26GE18,06TA45,08AR24,24AQ01,18TA15,25PI22,27CP29,19TA12
Sa,16,19:35:16,23CN28,24AQ54,22CN30,27GE31,07TA26,08AR27,23AQ58,18TA17,25PI22,27CP27,19TA09
Su,17,19:39:13,24CN26,09PI28,24CN39,28GE43,08TA07,08AR29,23AQ54,18TA19,25PI21,27CP26,19TA06
Mo,18,19:43:09,25CN23,23PI32,26CN47,29GE55,08TA48,08AR31,23AQ51,18TA21,25PI21,27CP24,19TA03
Tu,19,19:47:06,26CN20,07AR07,28CN54,01CN08,09TA28,08AR33,23AQ47,18TA22,25PI20,27CP23,18TA60
We,20,19:51:02,27CN17,20AR14,00LE60,02CN20,10TA09,08AR35,23AQ43,18TA24,25PI19,27CP21,18TA56
Th,21,19:54:59,28CN15,02TA56,03LE05,03CN33,10TA49,08AR37,23AQ40,18TA26,25PI19,27CP20,18TA53
Fr,22,19:58:55,29CN12,15TA18,05LE08,04CN45,11TA29,08AR38,23AQ36,18TA27,25PI18,27CP18,18TA50
Sa,23,20:02:52,00LE09,27TA24,07LE10,05CN58,12TA09,08AR40,23AQ32,18TA29,25PI17,27CP17,18TA47
Su,24,20:06:49,01LE07,09GE20,09LE11,07CN10,12TA49,08AR41,23AQ28,18TA31,25PI16,27CP16,18TA44
Mo,25,20:10:45,02LE04,21GE11,11LE10,08CN23,13TA29,08AR42,23AQ24,18TA32,25PI16,27CP14,18TA40
Tu,26,20:14:42,03LE01,02CN60,13LE08,09CN36,14TA09,08AR42,23AQ20,18TA34,25PI15,27CP13,18TA37
We,27,20:18:38,03LE59,14CN49,15LE04,10CN48,14TA49,08AR43,23AQ16,18TA35,25PI14,27CP11,18TA34
Th,28,20:22:35,04LE56,26CN42,16LE58,12CN01,15TA28,08AR43,23AQ12,18TA36,25PI13,27CP10,18TA31
Fr,29,20:26:31,05LE53,08LE41,18LE50,13CN14,16TA07,08AR43,23AQ07,18TA38,25PI12,27CP09,18TA28
Sa,30,20:30:28,06LE51,20LE46,20LE41,14CN27,16TA46,08AR43,23AQ03,18TA39,25PI11,27CP07,18TA25
Su,31,20:34:24,07LE48,02VI58,22LE30,15CN40,17TA25,08AR43,22AQ59,18TA40,25PI10,27CP06,18TA21
