We,01,16:37:51,10GE31,27GE07,26TA17,03TA58,05AR14,03AR44,25AQ14,16TA18,25PI15,28CP22,21TA32
Th,02,16:41:48,11GE28,08CN57,26TA09,05TA08,05AR58,03AR54,25AQ15,16TA21,25PI16,28CP21,21TA29
Fr,03,16:45:44,12GE26,20CN47,26TA05,06TA19,06AR42,04AR03,25AQ15,16TA25,25PI16,28CP20,21TA26
Sa,04,16:49:41,13GE23,02LE39,26TA06,07TA30,07AR27,04AR12,25AQ15,16TA28,25PI17,28CP19,21TA22
Su,05,16:53:37,14GE21,14LE37,26TA11,08TA40,08AR11,04AR21,25AQ15,16TA31,25PI18,28CP18,21TA19
Mo,06,16:57:34,15GE18,26LE45,26TA21,09TA51,08AR55,04AR30,25AQ15,16TA34,25PI19,28CP17,21TA16
Tu,07,17:01:30,16GE15,09VI05,26TA35,11TA01,09AR39,04AR39,25AQ15,16TA37,25PI19,28CP16,21TA13
We,08,17:05:27,17GE13,21VI43,26TA54,12TA12,10AR23,04AR48,25AQ15,16TA40,25PI20,28CP15,21TA10
Th,09,17:09:24,18GE10,04LI42,27TA17,13TA23,11AR07,04AR56,25AQ14,16TA43,25PI21,28CP14,21TA07
Fr,10,17:13:20,19GE08,18LI05,27TA44,14TA34,11AR51,05AR05,25AQ14,16TA46,25PI21,28CP13,21TA03
Sa,11,17:17:17,20GE05,01SC56,28TA16,15TA45,12AR35,05AR13,25AQ13,16TA49,25PI22,28CP12,21TA00
Su,12,17:21:13,21GE02,16SC13,28TA52,16TA55,13AR19,05AR21,25AQ13,16TA52,25PI23,28CP11,20TA57
Mo,13,17:25:10,21GE60,00SG54,29TA32,18TA06,14AR03,05AR29,25AQ12,16TA55,25PI23,28CP10,20TA54
Tu,14,17:29:06,22GE57,15SG55,00GE16,19TA17,14AR47,05AR37,25AQ11,16TA58,25PI23,28CP09,20TA51
We,15,17:33:03,23GE54,01CP07,01GE04,20TA28,15AR31,05AR45,25AQ10,17TA01,25PI24,28CP08,20TA48
Th,16,17:36:59,24GE52,16CP20,01GE56,21TA39,16AR14,05AR53,25AQ09,17TA04,25PI24,28CP07,20TA44
Fr,17,17:40:56,25GE49,01AQ24,02GE52,22TA51,16AR58,06AR00,25AQ08,17TA07,25PI25,28CP06,20TA41
Sa,18,17:44:53,26GE46,16AQ11,03GE52,24TA02,17AR41,06AR08,25AQ07,17TA10,25PI25,28CP04,20TA38
Su,19,17:48:49,27GE43,00PI34,04GE55,25TA13,18AR25,06AR15,25AQ06,17TA13,25PI25,28CP03,20TA35
Mo,20,17:52:46,28GE41,14PI30,06GE02,26TA24,19AR08,06AR22,25AQ04,17TA16,25PI26,28CP02,20TA32
Tu,21,17:56:42,29GE38,27PI60,07GE12,27TA36,19AR51,06AR29,25AQ03,17TA18,25PI26,28CP01,20TA28
We,22,18:00:39,00CN35,11AR04,08GE26,28TA47,20AR35,06AR35,25AQ01,17TA21,25PI26,27CP60,20TA25
Th,23,18:04:35,01CN32,23AR46,09GE44,29TA58,21AR18,06AR42,24AQ59,17TA24,25PI26,27CP58,20TA22
Fr,24,18:08:32,02CN30,06TA11,11GE04,01GE10,22AR01,06AR48,24AQ58,17TA27,25PI27,27CP57,20TA19
Sa,25,18:12:28,03CN27,18TA22,12GE29,02GE21,22AR44,06AR55,24AQ56,17TA29,25PI27,27CP56,20TA16
Su,26,18:16:25,04CN24,00GE23,13GE56,03GE33,23AR27,07AR01,24AQ54,17TA32,25PI27,27CP55,20TA13
Mo,27,18:20:22,05CN21,12GE17,15GE27,04GE44,24AR10,07AR07,24AQ52,17TA34,25PI27,27CP53,20TA09
Tu,28,18:24:18,06CN19,24GE08,17GE02,05GE56,24AR53,07AR12,24AQ50,17TA37,25PI27,27CP52,20TA06
We,29,18:28:15,07CN16,05CN57,18GE39,07GE07,25AR35,07AR18,24AQ48,17TA40,25PI27,27CP51,20TA03
Th,30,18:32:11,08CN13,17CN47,20GE20,08GE19,26AR18,07AR24,24AQ45,17TA42,25PI27,27CP49,19TA60
